                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2668,                 1.5714,                  1.731,                0.40976,                0.37929,                0.36761,                0.22571,                 1.7455,                 1.6949,                 2.1805,              0.0002945,              0.0002945,              0.0002945
                     47,                 1.2626,                 1.5515,                 1.7125,                0.44698,                0.36216,                 0.3563,                0.22134,                 1.8041,                 1.7464,                 2.2041,             0.00029138,             0.00029138,             0.00029138
                     48,                  1.267,                 1.5623,                 1.7283,                0.41312,                0.39427,                0.36791,                0.22067,                 1.7286,                 1.6897,                 2.1578,              0.0002882,              0.0002882,              0.0002882
                     49,                 1.2653,                 1.5492,                 1.7282,                0.38064,                0.39575,                 0.3552,                0.21981,                  1.786,                 1.7125,                 2.2062,             0.00028499,             0.00028499,             0.00028499
                     50,                 1.2514,                 1.5386,                 1.7151,                0.39069,                0.38795,                0.36375,                0.21933,                 1.7262,                 1.6508,                 2.1545,             0.00028173,             0.00028173,             0.00028173
                     51,                 1.2491,                 1.5021,                  1.696,                0.42377,                0.38525,                0.36524,                0.22214,                 1.6881,                   1.62,                 2.1322,             0.00027842,             0.00027842,             0.00027842
                     52,                 1.2479,                 1.5232,                 1.7117,                0.44224,                0.38604,                0.34951,                0.21857,                 1.6916,                 1.6167,                 2.1027,             0.00027508,             0.00027508,             0.00027508
                     53,                 1.2389,                  1.499,                 1.6879,                0.39715,                0.39762,                0.37201,                0.23254,                 1.6999,                 1.6117,                 2.1369,              0.0002717,              0.0002717,              0.0002717
                     54,                 1.2387,                 1.5102,                 1.7072,                0.40546,                0.38851,                0.34831,                0.21841,                   1.72,                 1.6539,                 2.1624,             0.00026828,             0.00026828,             0.00026828
                     55,                 1.2279,                 1.4987,                 1.7005,                0.44412,                0.37007,                 0.3541,                0.21884,                 1.6914,                 1.6233,                 2.1599,             0.00026483,             0.00026483,             0.00026483
                     56,                 1.2281,                 1.4942,                 1.6995,                0.46464,                0.38703,                0.37461,                0.22278,                 1.7254,                 1.6278,                 2.2129,             0.00026134,             0.00026134,             0.00026134
                     57,                 1.2267,                 1.4727,                 1.6808,                0.44276,                 0.3911,                0.36941,                0.22767,                 1.7849,                 1.6455,                  2.252,             0.00025782,             0.00025782,             0.00025782
                     58,                 1.2329,                 1.4721,                 1.6921,                0.47748,                0.40116,                0.37745,                0.22853,                 1.7166,                 1.6122,                 2.1824,             0.00025427,             0.00025427,             0.00025427
                     59,                 1.2219,                 1.4702,                 1.6731,                0.40877,                0.40962,                0.39325,                 0.2519,                 1.6552,                 1.5418,                 2.1615,             0.00025069,             0.00025069,             0.00025069
                     60,                 1.2167,                 1.4665,                 1.6761,                0.39945,                0.39978,                0.37402,                0.22801,                 1.7364,                 1.6094,                  2.225,             0.00024708,             0.00024708,             0.00024708
                     61,                 1.2081,                 1.4625,                 1.6799,                0.44094,                0.41006,                0.39985,                0.25056,                 1.6732,                 1.5557,                 2.1256,             0.00024345,             0.00024345,             0.00024345
                     62,                 1.2116,                 1.4536,                 1.6714,                0.42372,                0.38346,                0.36836,                0.22891,                 1.6654,                 1.5956,                  2.132,             0.00023979,             0.00023979,             0.00023979
                     63,                 1.2038,                 1.4382,                 1.6685,                0.47983,                0.38059,                0.36377,                0.22337,                 1.7601,                 1.6302,                 2.2758,              0.0002361,              0.0002361,              0.0002361
                     64,                 1.1956,                 1.4326,                 1.6688,                0.45685,                0.41171,                0.36883,                0.22638,                 1.7038,                 1.5898,                 2.1987,              0.0002324,              0.0002324,              0.0002324
                     65,                 1.1855,                  1.407,                 1.6464,                0.45442,                0.40792,                0.37148,                0.22828,                 1.6888,                 1.6032,                 2.1699,             0.00022867,             0.00022867,             0.00022867
                     66,                 1.1856,                 1.4088,                 1.6452,                0.48966,                0.39182,                0.37605,                0.24171,                 1.6468,                 1.5608,                 2.1538,             0.00022493,             0.00022493,             0.00022493
                     67,                 1.1882,                 1.4043,                 1.6522,                0.45911,                0.42154,                0.39178,                0.24962,                 1.6752,                 1.5705,                 2.1963,             0.00022117,             0.00022117,             0.00022117
                     68,                 1.1742,                 1.3975,                 1.6467,                0.43727,                0.40661,                0.39458,                0.25205,                 1.6962,                 1.5704,                  2.221,             0.00021739,             0.00021739,             0.00021739
                     69,                  1.185,                 1.3944,                 1.6429,                0.42416,                0.42997,                0.38937,                0.24457,                 1.6126,                 1.5285,                 2.1773,             0.00021361,             0.00021361,             0.00021361
                     70,                  1.174,                 1.4034,                 1.6456,                0.39931,                  0.402,                0.37473,                0.23919,                 1.6586,                 1.5935,                 2.1739,              0.0002098,              0.0002098,              0.0002098
                     71,                 1.1791,                 1.3877,                 1.6428,                0.38896,                0.40548,                0.37785,                0.24231,                 1.6749,                 1.5931,                 2.1639,             0.00020599,             0.00020599,             0.00020599
                     72,                 1.1628,                 1.3802,                 1.6295,                0.46477,                0.40431,                0.38535,                0.24701,                  1.659,                 1.5846,                 2.1431,             0.00020218,             0.00020218,             0.00020218
                     73,                 1.1777,                 1.3946,                 1.6522,                0.46945,                0.43346,                0.39827,                0.25652,                 1.6755,                 1.5287,                 2.2161,             0.00019835,             0.00019835,             0.00019835
                     74,                 1.1605,                  1.367,                 1.6281,                0.41442,                0.42744,                0.39643,                0.25555,                 1.6495,                 1.5509,                  2.227,             0.00019452,             0.00019452,             0.00019452
                     75,                 1.1654,                  1.368,                 1.6278,                 0.4153,                0.44247,                0.39537,                0.25537,                 1.6338,                 1.5287,                 2.1754,             0.00019069,             0.00019069,             0.00019069
                     76,                 1.1651,                 1.3663,                 1.6319,                0.39057,                0.41921,                0.37555,                0.24005,                 1.6333,                 1.5877,                 2.1521,             0.00018685,             0.00018685,             0.00018685
                     77,                 1.1549,                 1.3501,                 1.6234,                0.46647,                0.42405,                0.40703,                0.26175,                 1.6041,                 1.5094,                 2.1217,             0.00018301,             0.00018301,             0.00018301
                     78,                 1.1581,                 1.3462,                 1.6121,                0.42043,                0.42697,                0.40161,                0.25479,                 1.5942,                  1.539,                 2.1231,             0.00017918,             0.00017918,             0.00017918
                     79,                 1.1493,                 1.3557,                 1.6129,                0.45152,                0.43868,                0.40065,                  0.252,                 1.6147,                 1.5596,                 2.2004,             0.00017535,             0.00017535,             0.00017535
                     80,                 1.1469,                 1.3484,                 1.6215,                0.43644,                0.44631,                0.41137,                0.26197,                 1.6172,                 1.5271,                 2.1686,             0.00017152,             0.00017152,             0.00017152
                     81,                 1.1397,                 1.3384,                 1.6125,                0.50098,                0.42326,                0.40821,                0.26165,                 1.6262,                 1.5106,                 2.2006,             0.00016771,             0.00016771,             0.00016771
                     82,                 1.1356,                  1.337,                 1.6135,                 0.5142,                0.42778,                0.41077,                0.26681,                 1.5934,                 1.5186,                 2.1675,              0.0001639,              0.0001639,              0.0001639
                     83,                 1.1285,                 1.3183,                 1.5937,                0.47145,                0.42614,                 0.4075,                0.26061,                 1.6178,                 1.5179,                 2.1904,             0.00016009,             0.00016009,             0.00016009
                     84,                 1.1294,                 1.3072,                 1.5927,                0.48839,                0.43954,                 0.4096,                0.25671,                 1.5837,                 1.5124,                 2.1613,             0.00015631,             0.00015631,             0.00015631
                     85,                 1.1235,                 1.3131,                 1.5904,                0.44782,                0.43431,                0.41389,                0.26968,                  1.584,                 1.4956,                 2.1702,             0.00015253,             0.00015253,             0.00015253
                     86,                 1.1308,                 1.3237,                 1.5993,                0.43903,                0.42803,                 0.4088,                0.26334,                  1.617,                 1.5123,                 2.2345,             0.00014877,             0.00014877,             0.00014877
                     87,                 1.1224,                 1.3011,                 1.5854,                0.44331,                 0.4306,                0.41204,                0.26528,                 1.5717,                 1.4871,                  2.145,             0.00014503,             0.00014503,             0.00014503
                     88,                 1.1277,                  1.304,                 1.5985,                0.41614,                0.44223,                0.41064,                0.26859,                 1.5727,                 1.5204,                 2.1696,              0.0001413,              0.0001413,              0.0001413
                     89,                 1.1232,                 1.2989,                 1.5911,                0.52218,                0.42398,                0.42799,                0.27654,                 1.6041,                 1.4693,                 2.2069,              0.0001376,              0.0001376,              0.0001376
                     90,                 1.1166,                 1.2814,                 1.5838,                0.51058,                0.41138,                0.40712,                0.26463,                 1.5884,                 1.5143,                 2.2079,             0.00013391,             0.00013391,             0.00013391
                     91,                 1.1112,                 1.2863,                 1.5685,                 0.5177,                0.40081,                0.41227,                  0.264,                 1.5909,                  1.497,                  2.152,             0.00013025,             0.00013025,             0.00013025
                     92,                 1.0983,                 1.2805,                 1.5756,                0.47676,                0.45625,                0.41657,                0.27303,                  1.579,                 1.4944,                 2.1932,             0.00012662,             0.00012662,             0.00012662
                     93,                 1.1071,                 1.2796,                 1.5727,                0.42369,                0.47005,                0.42287,                0.27092,                 1.5944,                  1.499,                 2.1957,             0.00012301,             0.00012301,             0.00012301
                     94,                 1.1036,                 1.2803,                 1.5692,                0.52403,                0.43692,                0.42931,                 0.2799,                 1.5957,                 1.4826,                 2.2122,             0.00011943,             0.00011943,             0.00011943
                     95,                 1.0875,                 1.2706,                 1.5684,                0.50631,                0.46357,                0.43275,                0.27903,                 1.5761,                 1.4786,                 2.1864,             0.00011588,             0.00011588,             0.00011588
                     96,                 1.0997,                 1.2742,                 1.5699,                0.44624,                0.43778,                0.42204,                0.27214,                 1.5893,                 1.5031,                 2.2116,             0.00011236,             0.00011236,             0.00011236
