                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1252,                0.52216,                0.93564,                0.80498,                0.68384,                0.71529,                0.50331,                 1.5339,                0.89101,                 1.0661,             8.3904e-05,             8.3904e-05,             8.3904e-05
                     71,                 1.1211,                0.51963,                0.93503,                0.81723,                0.67974,                0.72157,                0.49929,                 1.5446,                0.86816,                 1.0696,             7.9197e-05,             7.9197e-05,             7.9197e-05
                     72,                 1.1239,                0.52036,                0.93005,                0.79711,                0.66733,                 0.7168,                0.50391,                 1.5453,                0.89378,                 1.0704,             7.4596e-05,             7.4596e-05,             7.4596e-05
                     73,                 1.1223,                0.51898,                0.92839,                0.83402,                0.68285,                0.72606,                0.51868,                 1.5117,                 0.9075,                 1.0678,             7.0106e-05,             7.0106e-05,             7.0106e-05
                     74,                 1.1158,                0.51677,                0.92632,                0.82035,                0.68865,                0.71885,                0.50861,                 1.4999,                0.86347,                 1.0583,             6.5731e-05,             6.5731e-05,             6.5731e-05
                     75,                 1.1074,                0.50994,                0.92967,                0.81146,                 0.6917,                0.71731,                0.50913,                 1.4924,                0.87074,                   1.06,             6.1475e-05,             6.1475e-05,             6.1475e-05
                     76,                 1.1027,                0.50495,                 0.9242,                0.82497,                 0.6793,                0.71605,                0.50091,                 1.5273,                0.89545,                 1.0641,             5.7343e-05,             5.7343e-05,             5.7343e-05
                     77,                 1.1039,                0.50596,                0.92653,                0.79607,                0.67958,                0.71712,                0.50961,                 1.5207,                0.89679,                 1.0614,             5.3339e-05,             5.3339e-05,             5.3339e-05
                     78,                 1.0928,                 0.5005,                0.92582,                0.83337,                0.69567,                 0.7213,                0.51428,                 1.5033,                0.87969,                 1.0599,             4.9467e-05,             4.9467e-05,             4.9467e-05
                     79,                 1.1009,                0.50366,                0.92521,                0.82173,                0.68239,                0.71716,                0.50819,                 1.5059,                0.85365,                 1.0563,              4.573e-05,              4.573e-05,              4.573e-05
                     80,                 1.0856,                0.49618,                0.91899,                 0.8102,                0.70092,                0.72385,                0.51114,                 1.5132,                0.86257,                 1.0562,             4.2133e-05,             4.2133e-05,             4.2133e-05
                     81,                 1.0875,                0.49414,                0.92003,                 0.8424,                0.67535,                0.72377,                0.51388,                  1.489,                0.83704,                 1.0504,             3.8679e-05,             3.8679e-05,             3.8679e-05
                     82,                 1.0804,                0.49325,                0.91748,                0.83153,                0.66363,                0.71591,                 0.5118,                 1.4689,                0.83864,                 1.0471,              3.537e-05,              3.537e-05,              3.537e-05
                     83,                 1.0892,                0.49554,                0.91918,                0.84477,                0.65491,                0.71301,                0.51107,                 1.5008,                0.84193,                 1.0571,             3.2211e-05,             3.2211e-05,             3.2211e-05
                     84,                 1.0794,                0.49139,                0.91574,                0.80239,                0.66446,                 0.7205,                0.51751,                 1.4972,                0.84857,                  1.056,             2.9205e-05,             2.9205e-05,             2.9205e-05
                     85,                 1.0704,                0.48788,                0.91431,                0.79978,                0.68422,                0.71729,                0.51191,                 1.5057,                 0.8392,                 1.0588,             2.6354e-05,             2.6354e-05,             2.6354e-05
                     86,                  1.072,                0.48635,                0.92014,                0.83088,                0.67105,                0.71958,                0.51847,                 1.4751,                0.82894,                 1.0451,             2.3662e-05,             2.3662e-05,             2.3662e-05
                     87,                  1.067,                0.48506,                0.91516,                0.81063,                0.68438,                0.71782,                0.51562,                 1.4801,                0.83284,                 1.0489,             2.1131e-05,             2.1131e-05,             2.1131e-05
                     88,                 1.0685,                0.48566,                 0.9141,                0.83377,                0.67397,                0.72329,                0.51377,                 1.4865,                0.82836,                 1.0539,             1.8763e-05,             1.8763e-05,             1.8763e-05
                     89,                 1.0587,                0.47994,                  0.914,                0.77107,                0.67512,                0.72117,                0.51662,                 1.4892,                0.84418,                 1.0526,             1.6561e-05,             1.6561e-05,             1.6561e-05
                     90,                 1.0627,                0.48209,                0.91342,                 0.8145,                0.68599,                0.72321,                0.51485,                 1.4815,                0.83532,                  1.051,             1.4528e-05,             1.4528e-05,             1.4528e-05
