epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,10777,1.19964,1.48277,1.69664,0.58889,0.46112,0.43855,0.26778,1.43274,1.17946,1.62468,5.44701e-05,5.44701e-05,5.44701e-05
55,10996.2,1.2074,1.47045,1.6807,0.58429,0.46181,0.44111,0.2716,1.43731,1.17346,1.62776,4.8925e-05,4.8925e-05,4.8925e-05
56,11144.6,1.16991,1.30964,1.63409,0.55612,0.45905,0.42746,0.25926,1.41479,1.17729,1.63092,4.36576e-05,4.36576e-05,4.36576e-05
57,11290.8,1.14868,1.27213,1.61878,0.5827,0.45244,0.43238,0.26031,1.4459,1.15543,1.63185,3.86785e-05,3.86785e-05,3.86785e-05
58,11437.1,1.12889,1.24661,1.59174,0.59636,0.46186,0.43613,0.2631,1.42905,1.15205,1.62686,3.39979e-05,3.39979e-05,3.39979e-05
59,11583.1,1.12269,1.24639,1.59175,0.61286,0.46215,0.43866,0.26619,1.40858,1.14027,1.61451,2.96251e-05,2.96251e-05,2.96251e-05
60,11729.4,1.13218,1.24709,1.59655,0.62033,0.45554,0.44318,0.27275,1.40434,1.13253,1.60105,2.55689e-05,2.55689e-05,2.55689e-05
61,11875.9,1.11363,1.23335,1.58596,0.55991,0.48141,0.44758,0.27785,1.40744,1.12546,1.6136,2.18376e-05,2.18376e-05,2.18376e-05
62,12022.1,1.11747,1.224,1.58591,0.5822,0.47294,0.44853,0.27392,1.41216,1.1382,1.62522,1.84385e-05,1.84385e-05,1.84385e-05
63,12168,1.10939,1.21943,1.58303,0.60294,0.46435,0.44918,0.27583,1.41172,1.13008,1.60937,1.53786e-05,1.53786e-05,1.53786e-05
64,12313.8,1.09457,1.21296,1.56992,0.61043,0.46137,0.44468,0.27124,1.40125,1.13631,1.6062,1.2664e-05,1.2664e-05,1.2664e-05
65,12459.5,1.10295,1.21594,1.5728,0.60162,0.46855,0.45158,0.27762,1.40262,1.14003,1.61036,1.03002e-05,1.03002e-05,1.03002e-05
66,12605.6,1.09996,1.21285,1.56393,0.59359,0.47201,0.45128,0.27866,1.40036,1.13553,1.6095,8.29195e-06,8.29195e-06,8.29195e-06
67,12751.5,1.10326,1.22055,1.57313,0.60772,0.46606,0.45113,0.27993,1.39711,1.13415,1.60654,6.6433e-06,6.6433e-06,6.6433e-06
68,12897.3,1.09869,1.20711,1.568,0.59448,0.47876,0.4535,0.2785,1.39359,1.12672,1.60519,5.35755e-06,5.35755e-06,5.35755e-06
69,13043.7,1.10127,1.21572,1.56825,0.6072,0.4751,0.45198,0.28,1.39748,1.12936,1.61055,4.43731e-06,4.43731e-06,4.43731e-06
70,13189.9,1.09588,1.21735,1.56633,0.60651,0.47671,0.45184,0.27699,1.39479,1.12401,1.60752,3.88442e-06,3.88442e-06,3.88442e-06
